,id,name,powerstats,biography,appearance,work,connections,image
0,1,A-Bomb,"{""intelligence"": ""38"", ""strength"": ""100"", ""speed"": ""17"", ""durability"": ""80"", ""power"": ""24"", ""combat"": ""64""}","{""full-name"": ""Richard Milhouse Jones"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""Rick Jones""], ""place-of-birth"": ""Scarsdale, Arizona"", ""first-appearance"": ""Hulk Vol 2 #2 (April, 2008) (as A-Bomb)"", ""publisher"": ""Marvel Comics"", ""alignment"": ""good""}","{""gender"": ""Male"", ""race"": ""Human"", ""height"": [""6'8"", ""203 cm""], ""weight"": [""980 lb"", ""441 kg""], ""eye-color"": ""Yellow"", ""hair-color"": ""No Hair""}","{""occupation"": ""Musician, adventurer, author; formerly talk show host"", ""base"": ""-""}","{""group-affiliation"": ""Hulk Family; Excelsior (sponsor), Avengers (honorary member); formerly partner of the Hulk, Captain America and Captain Marvel; Teen Brigade; ally of Rom"", ""relatives"": ""Marlo Chandler-Jones (wife); Polly (aunt); Mrs. Chandler (mother-in-law); Keith Chandler, Ray Chandler, three unidentified others (brothers-in-law); unidentified father (deceased); Jackie Shorr (alleged mother; unconfirmed)""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/10060.jpg""}"
1,2,Abe Sapien,"{""intelligence"": ""88"", ""strength"": ""28"", ""speed"": ""35"", ""durability"": ""65"", ""power"": ""100"", ""combat"": ""85""}","{""full-name"": ""Abraham Sapien"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""Langdon Everett Caul"", ""Abraham Sapien"", ""Langdon Caul""], ""place-of-birth"": ""-"", ""first-appearance"": ""Hellboy: Seed of Destruction (1993)"", ""publisher"": ""Dark Horse Comics"", ""alignment"": ""good""}","{""gender"": ""Male"", ""race"": ""Icthyo Sapien"", ""height"": [""6'3"", ""191 cm""], ""weight"": [""145 lb"", ""65 kg""], ""eye-color"": ""Blue"", ""hair-color"": ""No Hair""}","{""occupation"": ""Paranormal Investigator"", ""base"": ""-""}","{""group-affiliation"": ""Bureau for Paranormal Research and Defense"", ""relatives"": ""Edith Howard (wife, deceased)""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/956.jpg""}"
2,3,Abin Sur,"{""intelligence"": ""50"", ""strength"": ""90"", ""speed"": ""53"", ""durability"": ""64"", ""power"": ""99"", ""combat"": ""65""}","{""full-name"": """", ""alter-egos"": ""No alter egos found."", ""aliases"": [""Lagzia""], ""place-of-birth"": ""Ungara"", ""first-appearance"": ""Showcase #22 (October, 1959)"", ""publisher"": ""DC Comics"", ""alignment"": ""good""}","{""gender"": ""Male"", ""race"": ""Ungaran"", ""height"": [""6'1"", ""185 cm""], ""weight"": [""200 lb"", ""90 kg""], ""eye-color"": ""Blue"", ""hair-color"": ""No Hair""}","{""occupation"": ""Green Lantern, former history professor"", ""base"": ""Oa""}","{""group-affiliation"": ""Green Lantern Corps, Black Lantern Corps"", ""relatives"": ""Amon Sur (son), Arin Sur (sister), Thaal Sinestro (brother-in-law), Soranik Natu (niece)""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/1460.jpg""}"
3,4,Abomination,"{""intelligence"": ""63"", ""strength"": ""80"", ""speed"": ""53"", ""durability"": ""90"", ""power"": ""62"", ""combat"": ""95""}","{""full-name"": ""Emil Blonsky"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""Agent R-7"", ""Ravager of Worlds""], ""place-of-birth"": ""Zagreb, Yugoslavia"", ""first-appearance"": ""Tales to Astonish #90"", ""publisher"": ""Marvel Comics"", ""alignment"": ""bad""}","{""gender"": ""Male"", ""race"": ""Human / Radiation"", ""height"": [""6'8"", ""203 cm""], ""weight"": [""980 lb"", ""441 kg""], ""eye-color"": ""Green"", ""hair-color"": ""No Hair""}","{""occupation"": ""Ex-Spy"", ""base"": ""Mobile""}","{""group-affiliation"": ""former member of the crew of the Andromeda Starship, ally of the Abominations and Forgotten"", ""relatives"": ""Nadia Dornova Blonsky (wife, separated)""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/1.jpg""}"
4,5,Abraxas,"{""intelligence"": ""88"", ""strength"": ""63"", ""speed"": ""83"", ""durability"": ""100"", ""power"": ""100"", ""combat"": ""55""}","{""full-name"": ""Abraxas"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""-""], ""place-of-birth"": ""Within Eternity"", ""first-appearance"": ""Fantastic Four Annual #2001"", ""publisher"": ""Marvel Comics"", ""alignment"": ""bad""}","{""gender"": ""Male"", ""race"": ""Cosmic Entity"", ""height"": [""-"", ""0 cm""], ""weight"": [""- lb"", ""0 kg""], ""eye-color"": ""Blue"", ""hair-color"": ""Black""}","{""occupation"": ""Dimensional destroyer"", ""base"": ""-""}","{""group-affiliation"": ""Cosmic Beings"", ""relatives"": ""Eternity (\""Father\"")""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/181.jpg""}"
5,6,Absorbing Man,"{""intelligence"": ""38"", ""strength"": ""80"", ""speed"": ""25"", ""durability"": ""100"", ""power"": ""98"", ""combat"": ""64""}","{""full-name"": ""Carl Creel"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""Greithoth"", ""\""Crusher\"" Creel"", ""Rocky Davis"", ""Dynamite Davis"", ""Lightningbolt"", ""Prisoner #24957""], ""place-of-birth"": ""New York City, New York"", ""first-appearance"": ""Daredevil #1 (April, 1964) (As Rocky Davis)"", ""publisher"": ""Marvel Comics"", ""alignment"": ""bad""}","{""gender"": ""Male"", ""race"": ""Human"", ""height"": [""6'4"", ""193 cm""], ""weight"": [""270 lb"", ""122 kg""], ""eye-color"": ""Blue"", ""hair-color"": ""No Hair""}","{""occupation"": ""Professional criminal; former professional boxer"", ""base"": ""-""}","{""group-affiliation"": ""Masters of Evil, Lethal Legion; formerly Worthy, Frightful Four: former agent of Loki and They Who Wield Power"", ""relatives"": ""Mary MacPherran (Titania) (wife); Jerry Sledge (son); Rockwell \""Rocky\"" Davis (Hi-Llite) (cousin)""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/1448.jpg""}"
6,7,Adam Monroe,"{""intelligence"": ""63"", ""strength"": ""10"", ""speed"": ""12"", ""durability"": ""100"", ""power"": ""100"", ""combat"": ""64""}","{""full-name"": """", ""alter-egos"": ""No alter egos found."", ""aliases"": [""Takezo Kensei"", ""Richard Sanders""], ""place-of-birth"": ""-"", ""first-appearance"": ""Heroes S02E01 - Four Months Later..."", ""publisher"": ""NBC - Heroes"", ""alignment"": ""good""}","{""gender"": ""Male"", ""race"": ""null"", ""height"": [""-"", ""0 cm""], ""weight"": [""- lb"", ""0 kg""], ""eye-color"": ""Blue"", ""hair-color"": ""Blond""}","{""occupation"": ""former samurai swordsman, former British mercenary commander, former soldier in the Confederate Army"", ""base"": ""U.S.; formerly Diedenshausen, Germany; Milan, Italy; Paris, France; Japan; England; Atlanta, GA; Montreal, Canada""}","{""group-affiliation"": ""-"", ""relatives"": ""-""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/1026.jpg""}"
7,8,Adam Strange,"{""intelligence"": ""69"", ""strength"": ""10"", ""speed"": ""33"", ""durability"": ""40"", ""power"": ""37"", ""combat"": ""50""}","{""full-name"": ""Adam Strange"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""Warrior of Two Worlds"", ""Savior of Rann""], ""place-of-birth"": ""Chicago, Illinois"", ""first-appearance"": ""Outsiders #6 (April, 1986)"", ""publisher"": ""DC Comics"", ""alignment"": ""good""}","{""gender"": ""Male"", ""race"": ""Human"", ""height"": [""6'1"", ""185 cm""], ""weight"": [""195 lb"", ""88 kg""], ""eye-color"": ""Blue"", ""hair-color"": ""Blond""}","{""occupation"": ""Adventurer, archaelogist, ambassador"", ""base"": ""Rann, Alpha Centauri System""}","{""group-affiliation"": ""Omega Men, L.E.G.I.O.N., R.E.B.E.L.S., formerly Seven Soldiers of Victory"", ""relatives"": ""Alanna Strange (wife); Aleea Strange (daughter); Sardath (father-in-law); Janey Strange (sister); Todd Strange (brother, deceased); Bantteir (mother-in-law); Adam Strange II (descendent)""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/626.jpg""}"
8,9,Agent 13,"{""intelligence"": ""null"", ""strength"": ""46"", ""speed"": ""null"", ""durability"": ""null"", ""power"": ""null"", ""combat"": ""null""}","{""full-name"": ""Sharon Carter"", ""alter-egos"": ""Sharon Carter"", ""aliases"": [""-""], ""place-of-birth"": ""-"", ""first-appearance"": ""Tales of Suspense #75"", ""publisher"": ""Sharon Carter"", ""alignment"": ""good""}","{""gender"": ""Female"", ""race"": ""null"", ""height"": [""5'8"", ""173 cm""], ""weight"": [""135 lb"", ""61 kg""], ""eye-color"": ""Blue"", ""hair-color"": ""Blond""}","{""occupation"": ""Agent of SHIELD"", ""base"": ""S.H.I.E.L.D. Headquarters, New York City""}","{""group-affiliation"": ""Agent of SHIELD.; former member of the Femme Force"", ""relatives"": ""Harrison Carter (father), Amanda Carter (mother), Margaret \""Peggy\"" Carter (sister)""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/167.jpg""}"
9,10,Agent Bob,"{""intelligence"": ""10"", ""strength"": ""8"", ""speed"": ""13"", ""durability"": ""5"", ""power"": ""5"", ""combat"": ""20""}","{""full-name"": ""Bob"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""Bob"", ""agent of Hydra"", ""Bob"", ""agent of A.I.M""], ""place-of-birth"": ""-"", ""first-appearance"": ""Cable & Deadpool #38 (May, 2007)"", ""publisher"": ""Marvel Comics"", ""alignment"": ""good""}","{""gender"": ""Male"", ""race"": ""Human"", ""height"": [""5'10"", ""178 cm""], ""weight"": [""181 lb"", ""81 kg""], ""eye-color"": ""Brown"", ""hair-color"": ""Brown""}","{""occupation"": ""Mercenary, janitor; former pirate, terrorist"", ""base"": ""Mobile; formerly Manhattan, Hellcarrier""}","{""group-affiliation"": ""A.I.M., Deadpool; formerly Agency X, Hydra"", ""relatives"": ""Allison (ex-wife); Terry and Howie (sons)""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/10255.jpg""}"
10,11,Agent Zero,"{""intelligence"": ""75"", ""strength"": ""28"", ""speed"": ""38"", ""durability"": ""80"", ""power"": ""72"", ""combat"": ""95""}","{""full-name"": ""Christoph Nord"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""Maverick""], ""place-of-birth"": ""Unrevealed location in former East Germany"", ""first-appearance"": ""-"", ""publisher"": ""Marvel Comics"", ""alignment"": ""good""}","{""gender"": ""Male"", ""race"": ""null"", ""height"": [""6'3"", ""191 cm""], ""weight"": [""230 lb"", ""104 kg""], ""eye-color"": ""-"", ""hair-color"": ""-""}","{""occupation"": ""Mercenary, former government operative, freedom fighter"", ""base"": ""-""}","{""group-affiliation"": ""Formerly Weapon X, Weapon Plus, Team X, Cell Six, former bodyguard of Psi-Borg, former agent of Major Barrington"", ""relatives"": ""Unidentified parents (deceased), Andreas Nord (brother, deceased), Ginetta Lucia Barsalini (wife, deceased), unnamed child (deceased)""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/396.jpg""}"
